Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
OptidesLabkeyTests,Chrome 64.0.3282.167,,2018-02-15 14:34:41,2018-02-15 14:36:09,1m - 27.699s,PASSED
,,,,,,
Test Cases/QueryAssay Test,Chrome 64.0.3282.167,,2018-02-15 14:34:41,2018-02-15 14:36:09,1m - 27.218s,PASSED
callTestCase,Chrome 64.0.3282.167,use global script for log in with credentials and BASE_URL set there,2018-02-15 14:34:42,2018-02-15 14:35:01,19.396s,PASSED
mouseOver,Chrome 64.0.3282.167,,2018-02-15 14:35:01,2018-02-15 14:35:03,1.273s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-15 14:35:03,2018-02-15 14:35:05,2.599s,PASSED
click,Chrome 64.0.3282.167,,2018-02-15 14:35:05,2018-02-15 14:35:07,1.773s,PASSED
setText,Chrome 64.0.3282.167,,2018-02-15 14:35:07,2018-02-15 14:35:09,1.535s,PASSED
click,Chrome 64.0.3282.167,,2018-02-15 14:35:09,2018-02-15 14:35:09,0.742s,PASSED
delay,Chrome 64.0.3282.167,,2018-02-15 14:35:09,2018-02-15 14:35:12,3.012s,PASSED
verifyTextPresent,Chrome 64.0.3282.167,,2018-02-15 14:35:12,2018-02-15 14:35:18,5.821s,PASSED
verifyTextPresent,Chrome 64.0.3282.167,,2018-02-15 14:35:18,2018-02-15 14:35:23,4.980s,PASSED
verifyTextPresent,Chrome 64.0.3282.167,,2018-02-15 14:35:23,2018-02-15 14:35:28,4.505s,PASSED
verifyTextPresent,Chrome 64.0.3282.167,,2018-02-15 14:35:28,2018-02-15 14:35:32,4.581s,PASSED
verifyTextPresent,Chrome 64.0.3282.167,,2018-02-15 14:35:32,2018-02-15 14:35:37,4.337s,PASSED
verifyTextPresent,Chrome 64.0.3282.167,,2018-02-15 14:35:37,2018-02-15 14:35:41,4.390s,PASSED
verifyTextPresent,Chrome 64.0.3282.167,,2018-02-15 14:35:41,2018-02-15 14:35:45,4.450s,PASSED
verifyTextPresent,Chrome 64.0.3282.167,,2018-02-15 14:35:45,2018-02-15 14:35:50,4.463s,PASSED
verifyTextPresent,Chrome 64.0.3282.167,,2018-02-15 14:35:50,2018-02-15 14:35:54,4.350s,PASSED
verifyTextPresent,Chrome 64.0.3282.167,,2018-02-15 14:35:54,2018-02-15 14:35:59,4.467s,PASSED
verifyTextPresent,Chrome 64.0.3282.167,,2018-02-15 14:35:59,2018-02-15 14:36:03,4.226s,PASSED
verifyTextPresent,Chrome 64.0.3282.167,,2018-02-15 14:36:03,2018-02-15 14:36:07,4.401s,PASSED
closeBrowser,Chrome 64.0.3282.167,,2018-02-15 14:36:07,2018-02-15 14:36:09,1.244s,PASSED
