Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
OptidesLabkeyTests,Chrome 60.0.3112.113,,2017-09-22 13:16:42,2017-09-22 13:21:49,5m - 7.063s,FAILED
,,,,,,
Test Cases/LSCActivityCalcTest,Chrome 60.0.3112.113,Testing Transformation Script on the VIVOAssay/Sample/LSC Assay,2017-09-22 13:16:42,2017-09-22 13:17:26,43.732s,FAILED
callTestCase,Chrome 60.0.3112.113,,2017-09-22 13:16:43,2017-09-22 13:17:24,41.038s,PASSED
mouseOver,Chrome 60.0.3112.113,,2017-09-22 13:17:24,2017-09-22 13:17:26,1.393s,PASSED
waitForElementVisible,Chrome 60.0.3112.113,,2017-09-22 13:17:26,2017-09-22 13:17:26,0.558s,FAILED
,,,,,,
Test Cases/preTest-InsertTestConstructs,Chrome 60.0.3112.113,,2017-09-22 13:17:26,2017-09-22 13:19:35,2m - 8.575s,PASSED
openBrowser,Chrome 60.0.3112.113,,2017-09-22 13:17:27,2017-09-22 13:17:34,7.593s,PASSED
maximizeWindow,Chrome 60.0.3112.113,,2017-09-22 13:17:34,2017-09-22 13:17:35,1.126s,PASSED
click,Chrome 60.0.3112.113,,2017-09-22 13:17:35,2017-09-22 13:17:37,1.431s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-22 13:17:37,2017-09-22 13:17:37,0.385s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-22 13:17:37,2017-09-22 13:17:37,0.366s,PASSED
click,Chrome 60.0.3112.113,,2017-09-22 13:17:37,2017-09-22 13:17:38,0.166s,PASSED
click,Chrome 60.0.3112.113,,2017-09-22 13:17:38,2017-09-22 13:17:42,4.269s,PASSED
mouseOver,Chrome 60.0.3112.113,,2017-09-22 13:17:42,2017-09-22 13:17:43,1.002s,PASSED
waitForElementVisible,Chrome 60.0.3112.113,,2017-09-22 13:17:43,2017-09-22 13:17:44,1.108s,PASSED
click,Chrome 60.0.3112.113,,2017-09-22 13:17:44,2017-09-22 13:17:46,1.655s,PASSED
click,Chrome 60.0.3112.113,,2017-09-22 13:17:46,2017-09-22 13:17:48,2.464s,PASSED
click,Chrome 60.0.3112.113,,2017-09-22 13:17:48,2017-09-22 13:17:50,1.358s,PASSED
click,Chrome 60.0.3112.113,,2017-09-22 13:17:50,2017-09-22 13:17:51,1.177s,PASSED
click,Chrome 60.0.3112.113,,2017-09-22 13:17:51,2017-09-22 13:17:51,0.147s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-22 13:17:51,2017-09-22 13:19:32,1m - 40.734s,PASSED
click,Chrome 60.0.3112.113,,2017-09-22 13:19:32,2017-09-22 13:19:34,2.038s,PASSED
closeBrowser,Chrome 60.0.3112.113,,2017-09-22 13:19:34,2017-09-22 13:19:35,1.112s,PASSED
,,,,,,
Test Cases/HT_DNA OrderGeneratorTest,Chrome 60.0.3112.113,,2017-09-22 13:19:35,2017-09-22 13:20:28,53.687s,FAILED
callTestCase,Chrome 60.0.3112.113,use global script for log in with credentials and BASE_URL set there,2017-09-22 13:19:35,2017-09-22 13:19:49,14.174s,PASSED
mouseOver,Chrome 60.0.3112.113,,2017-09-22 13:19:49,2017-09-22 13:19:50,1.142s,PASSED
waitForElementVisible,Chrome 60.0.3112.113,,2017-09-22 13:19:50,2017-09-22 13:19:51,0.944s,PASSED
click,Chrome 60.0.3112.113,,2017-09-22 13:19:51,2017-09-22 13:19:53,1.463s,PASSED
click,Chrome 60.0.3112.113,,2017-09-22 13:19:53,2017-09-22 13:19:58,4.942s,PASSED
click,Chrome 60.0.3112.113,,2017-09-22 13:19:58,2017-09-22 13:19:59,1.208s,PASSED
click,Chrome 60.0.3112.113,,2017-09-22 13:19:59,2017-09-22 13:19:59,0.345s,PASSED
click,Chrome 60.0.3112.113,,2017-09-22 13:19:59,2017-09-22 13:20:01,1.216s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-22 13:20:01,2017-09-22 13:20:01,0.290s,PASSED
selectOptionByValue,Chrome 60.0.3112.113,,2017-09-22 13:20:01,2017-09-22 13:20:01,0.353s,PASSED
click,Chrome 60.0.3112.113,,2017-09-22 13:20:01,2017-09-22 13:20:01,0.163s,PASSED
"Statement - pipelineStatus = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_Data Pipeline - CompoundsRegistry/a_PipelineStatus), ""text"")",Chrome 60.0.3112.113,,2017-09-22 13:20:01,2017-09-22 13:20:08,6.987s,PASSED
"Statement - While (pipelineStatus == ""ht_order_generator RUNNING"" || pipelineStatus == ""ht_order_generator WAITING"")",Chrome 60.0.3112.113,Check every 10 seconds for a status update,2017-09-22 13:20:08,2017-09-22 13:20:28,20.133s,PASSED
"Statement - assert pipelineStatus == ""COMPLETE""",Chrome 60.0.3112.113,,2017-09-22 13:20:28,2017-09-22 13:20:28,0.000s,PASSED
,,,,,,
Test Cases/postTest-RemoveTestConstructs,Chrome 60.0.3112.113,remove constructs temporarily inserted for the test to work properly,2017-09-22 13:20:29,2017-09-22 13:21:49,1m - 20.407s,PASSED
openBrowser,Chrome 60.0.3112.113,,2017-09-22 13:20:29,2017-09-22 13:20:37,7.808s,PASSED
maximizeWindow,Chrome 60.0.3112.113,,2017-09-22 13:20:37,2017-09-22 13:20:38,1.128s,PASSED
click,Chrome 60.0.3112.113,,2017-09-22 13:20:38,2017-09-22 13:20:39,0.944s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-22 13:20:39,2017-09-22 13:20:39,0.285s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-22 13:20:39,2017-09-22 13:20:39,0.205s,PASSED
click,Chrome 60.0.3112.113,,2017-09-22 13:20:39,2017-09-22 13:20:39,0.156s,PASSED
click,Chrome 60.0.3112.113,,2017-09-22 13:20:39,2017-09-22 13:20:44,4.446s,PASSED
mouseOver,Chrome 60.0.3112.113,,2017-09-22 13:20:44,2017-09-22 13:20:45,1.034s,PASSED
waitForElementVisible,Chrome 60.0.3112.113,,2017-09-22 13:20:45,2017-09-22 13:20:46,0.997s,PASSED
click,Chrome 60.0.3112.113,,2017-09-22 13:20:46,2017-09-22 13:20:48,1.745s,PASSED
click,Chrome 60.0.3112.113,,2017-09-22 13:20:48,2017-09-22 13:20:50,2.356s,PASSED
click,Chrome 60.0.3112.113,,2017-09-22 13:20:50,2017-09-22 13:20:50,0.468s,PASSED
click,Chrome 60.0.3112.113,,2017-09-22 13:20:50,2017-09-22 13:20:51,0.407s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-22 13:20:51,2017-09-22 13:20:53,2.224s,PASSED
click,Chrome 60.0.3112.113,,2017-09-22 13:20:53,2017-09-22 13:20:55,1.629s,PASSED
click,Chrome 60.0.3112.113,,2017-09-22 13:20:55,2017-09-22 13:20:55,0.383s,PASSED
click,Chrome 60.0.3112.113,,2017-09-22 13:20:55,2017-09-22 13:20:56,1.398s,PASSED
click,Chrome 60.0.3112.113,,2017-09-22 13:20:56,2017-09-22 13:21:48,51.476s,PASSED
closeBrowser,Chrome 60.0.3112.113,,2017-09-22 13:21:48,2017-09-22 13:21:49,1.015s,PASSED
