Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
OptidesLabkeyTests,Chrome 61.0.3163.100,,2017-10-31 07:02:48,2017-10-31 07:23:33,20m - 45.193s,FAILED
,,,,,,
Test Cases/InSilicoAssay Weekly Cron Test,Chrome 61.0.3163.100,,2017-10-31 07:02:48,2017-10-31 07:03:52,1m - 3.323s,PASSED
callTestCase,Chrome 61.0.3163.100,use global script for log in with credentials and BASE_URL set there,2017-10-31 07:02:49,2017-10-31 07:03:21,32.195s,PASSED
mouseOver,Chrome 61.0.3163.100,,2017-10-31 07:03:21,2017-10-31 07:03:24,2.618s,PASSED
waitForElementVisible,Chrome 61.0.3163.100,,2017-10-31 07:03:24,2017-10-31 07:03:26,2.241s,PASSED
click,Chrome 61.0.3163.100,,2017-10-31 07:03:26,2017-10-31 07:03:30,3.266s,PASSED
Statement - numOfConstructs = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_Assay Dashboard OptidesCompoun/text_NumberOfConstructs)),Chrome 61.0.3163.100,,2017-10-31 07:03:30,2017-10-31 07:03:32,2.188s,PASSED
mouseOver,Chrome 61.0.3163.100,,2017-10-31 07:03:32,2017-10-31 07:03:34,2.290s,PASSED
waitForElementPresent,Chrome 61.0.3163.100,,2017-10-31 07:03:34,2017-10-31 07:03:35,1.200s,PASSED
click,Chrome 61.0.3163.100,,2017-10-31 07:03:35,2017-10-31 07:03:38,3.100s,PASSED
click,Chrome 61.0.3163.100,,2017-10-31 07:03:38,2017-10-31 07:03:41,3.016s,PASSED
click,Chrome 61.0.3163.100,,2017-10-31 07:03:41,2017-10-31 07:03:43,2.126s,PASSED
click,Chrome 61.0.3163.100,,2017-10-31 07:03:43,2017-10-31 07:03:47,3.080s,PASSED
Statement - formatted = java.text.NumberFormat.getNumberInstance(US).format(java.lang.Integer.valueOf(numOfConstructs)),Chrome 61.0.3163.100,,2017-10-31 07:03:47,2017-10-31 07:03:47,0.042s,PASSED
Statement - out.println(formatted),Chrome 61.0.3163.100,,2017-10-31 07:03:47,2017-10-31 07:03:47,0.082s,PASSED
verifyTextPresent,Chrome 61.0.3163.100,,2017-10-31 07:03:47,2017-10-31 07:03:49,2.707s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-10-31 07:03:49,2017-10-31 07:03:52,2.394s,PASSED
,,,,,,
Test Cases/updateMWs Test,Chrome 61.0.3163.100,,2017-10-31 07:03:52,2017-10-31 07:04:37,45.209s,FAILED
callTestCase,Chrome 61.0.3163.100,use global script for log in with credentials and BASE_URL set there,2017-10-31 07:03:52,2017-10-31 07:04:21,28.848s,PASSED
Statement - today = null,Chrome 61.0.3163.100,,2017-10-31 07:04:21,2017-10-31 07:04:21,0.000s,PASSED
"Statement - use(groovy.time.TimeCategory, { -> ... })",Chrome 61.0.3163.100,"TODAY'S DATE.  used to check \""modified\"" columns in the various tables with MWs.\t",2017-10-31 07:04:21,2017-10-31 07:04:21,0.104s,PASSED
"Statement - dateStr = today.format(""yyyy-MM-dd"")",Chrome 61.0.3163.100,,2017-10-31 07:04:21,2017-10-31 07:04:21,0.000s,PASSED
mouseOver,Chrome 61.0.3163.100,,2017-10-31 07:04:21,2017-10-31 07:04:24,2.458s,PASSED
waitForElementVisible,Chrome 61.0.3163.100,,2017-10-31 07:04:24,2017-10-31 07:04:26,2.227s,PASSED
click,Chrome 61.0.3163.100,,2017-10-31 07:04:26,2017-10-31 07:04:29,3.299s,PASSED
click,Chrome 61.0.3163.100,,2017-10-31 07:04:29,2017-10-31 07:04:32,3.219s,PASSED
verifyTextPresent,Chrome 61.0.3163.100,Check CHEMProduction table to see if weights were updated today.,2017-10-31 07:04:32,2017-10-31 07:04:37,4.668s,FAILED
,,,,,,
Test Cases/LSCActivityCalcTest,Chrome 61.0.3163.100,Testing Transformation Script on the VIVOAssay/Sample/LSC Assay,2017-10-31 07:04:37,2017-10-31 07:06:35,1m - 58.049s,PASSED
callTestCase,Chrome 61.0.3163.100,,2017-10-31 07:04:37,2017-10-31 07:05:17,39.254s,PASSED
mouseOver,Chrome 61.0.3163.100,,2017-10-31 07:05:17,2017-10-31 07:05:19,2.600s,PASSED
waitForElementVisible,Chrome 61.0.3163.100,,2017-10-31 07:05:19,2017-10-31 07:05:21,2.087s,PASSED
click,Chrome 61.0.3163.100,,2017-10-31 07:05:21,2017-10-31 07:05:26,4.686s,PASSED
click,Chrome 61.0.3163.100,,2017-10-31 07:05:26,2017-10-31 07:05:29,3.143s,PASSED
click,Chrome 61.0.3163.100,,2017-10-31 07:05:29,2017-10-31 07:05:34,4.925s,PASSED
selectOptionByLabel,Chrome 61.0.3163.100,,2017-10-31 07:05:34,2017-10-31 07:05:39,5.146s,PASSED
click,Chrome 61.0.3163.100,,2017-10-31 07:05:39,2017-10-31 07:05:42,3.149s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-31 07:05:42,2017-10-31 07:05:47,4.198s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-31 07:05:47,2017-10-31 07:05:52,4.959s,PASSED
click,Chrome 61.0.3163.100,,2017-10-31 07:05:52,2017-10-31 07:05:58,6.787s,PASSED
click,Chrome 61.0.3163.100,,2017-10-31 07:05:58,2017-10-31 07:06:03,5.053s,PASSED
waitForPageLoad,Chrome 61.0.3163.100,,2017-10-31 07:06:03,2017-10-31 07:06:04,1.058s,PASSED
verifyTextPresent,Chrome 61.0.3163.100,,2017-10-31 07:06:04,2017-10-31 07:06:07,2.197s,PASSED
verifyTextPresent,Chrome 61.0.3163.100,,2017-10-31 07:06:07,2017-10-31 07:06:09,2.106s,PASSED
verifyTextPresent,Chrome 61.0.3163.100,,2017-10-31 07:06:09,2017-10-31 07:06:11,2.110s,PASSED
verifyTextPresent,Chrome 61.0.3163.100,,2017-10-31 07:06:11,2017-10-31 07:06:13,2.111s,PASSED
verifyTextPresent,Chrome 61.0.3163.100,,2017-10-31 07:06:13,2017-10-31 07:06:15,2.109s,PASSED
click,Chrome 61.0.3163.100,,2017-10-31 07:06:15,2017-10-31 07:06:22,6.918s,PASSED
click,Chrome 61.0.3163.100,,2017-10-31 07:06:22,2017-10-31 07:06:24,2.208s,PASSED
click,Chrome 61.0.3163.100,,2017-10-31 07:06:24,2017-10-31 07:06:28,3.370s,PASSED
verifyTextPresent,Chrome 61.0.3163.100,,2017-10-31 07:06:28,2017-10-31 07:06:30,2.078s,PASSED
click,Chrome 61.0.3163.100,,2017-10-31 07:06:30,2017-10-31 07:06:33,3.520s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-10-31 07:06:33,2017-10-31 07:06:35,2.003s,PASSED
,,,,,,
Test Cases/AssayReport Creation test,Chrome 61.0.3163.100,,2017-10-31 07:06:35,2017-10-31 07:07:56,1m - 21.031s,FAILED
callTestCase,Chrome 61.0.3163.100,use global script for log in with credentials and BASE_URL set there,2017-10-31 07:06:36,2017-10-31 07:07:10,34.548s,PASSED
mouseOver,Chrome 61.0.3163.100,,2017-10-31 07:07:10,2017-10-31 07:07:13,2.523s,PASSED
waitForElementVisible,Chrome 61.0.3163.100,,2017-10-31 07:07:13,2017-10-31 07:07:15,2.258s,PASSED
click,Chrome 61.0.3163.100,,2017-10-31 07:07:15,2017-10-31 07:07:20,4.710s,PASSED
delay,Chrome 61.0.3163.100,,2017-10-31 07:07:20,2017-10-31 07:07:22,2.012s,PASSED
click,Chrome 61.0.3163.100,,2017-10-31 07:07:22,2017-10-31 07:07:24,2.159s,PASSED
click,Chrome 61.0.3163.100,,2017-10-31 07:07:24,2017-10-31 07:07:27,2.852s,PASSED
click,Chrome 61.0.3163.100,,2017-10-31 07:07:27,2017-10-31 07:07:29,2.135s,PASSED
click,Chrome 61.0.3163.100,,2017-10-31 07:07:29,2017-10-31 07:07:32,2.888s,PASSED
delay,Chrome 61.0.3163.100,,2017-10-31 07:07:32,2017-10-31 07:07:34,2.001s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-31 07:07:34,2017-10-31 07:07:38,4.227s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-31 07:07:38,2017-10-31 07:07:45,7.054s,PASSED
click,Chrome 61.0.3163.100,,2017-10-31 07:07:45,2017-10-31 07:07:51,5.835s,PASSED
verifyTextPresent,Chrome 61.0.3163.100,,2017-10-31 07:07:51,2017-10-31 07:07:53,2.082s,PASSED
verifyTextPresent,Chrome 61.0.3163.100,,2017-10-31 07:07:53,2017-10-31 07:07:56,3.378s,FAILED
,,,,,,
Test Cases/preTest-InsertTestConstructs,Chrome 61.0.3163.100,,2017-10-31 07:07:56,2017-10-31 07:10:32,2m - 35.320s,PASSED
callTestCase,Chrome 61.0.3163.100,use global script for log in with credentials and BASE_URL set there,2017-10-31 07:07:57,2017-10-31 07:08:35,37.858s,PASSED
mouseOver,Chrome 61.0.3163.100,,2017-10-31 07:08:35,2017-10-31 07:08:37,2.507s,PASSED
waitForElementVisible,Chrome 61.0.3163.100,,2017-10-31 07:08:37,2017-10-31 07:08:39,2.273s,PASSED
click,Chrome 61.0.3163.100,,2017-10-31 07:08:39,2017-10-31 07:08:44,4.522s,PASSED
delay,Chrome 61.0.3163.100,,2017-10-31 07:08:44,2017-10-31 07:08:46,2.000s,PASSED
click,Chrome 61.0.3163.100,,2017-10-31 07:08:46,2017-10-31 07:08:49,2.913s,PASSED
click,Chrome 61.0.3163.100,,2017-10-31 07:08:49,2017-10-31 07:08:51,2.722s,PASSED
click,Chrome 61.0.3163.100,,2017-10-31 07:08:51,2017-10-31 07:08:54,2.107s,PASSED
"Statement - dataPresent = !(com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyTextPresent(""No data to show."", false, CONTINUE_ON_FAILURE))",Chrome 61.0.3163.100,,2017-10-31 07:08:54,2017-10-31 07:08:56,2.145s,PASSED
Statement - If (dataPresent),Chrome 61.0.3163.100,,2017-10-31 07:08:56,2017-10-31 07:08:56,0.000s,PASSED
mouseOver,Chrome 61.0.3163.100,,2017-10-31 07:08:56,2017-10-31 07:08:58,2.114s,PASSED
