Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
OptidesLabkeyTests,Chrome 60.0.3112.113,,2017-09-22 13:30:34,2017-09-22 13:35:24,4m - 50.211s,FAILED
,,,,,,
Test Cases/LSCActivityCalcTest,Chrome 60.0.3112.113,Testing Transformation Script on the VIVOAssay/Sample/LSC Assay,2017-09-22 13:30:34,2017-09-22 13:30:55,20.720s,FAILED
callTestCase,Chrome 60.0.3112.113,,2017-09-22 13:30:35,2017-09-22 13:30:53,17.933s,PASSED
mouseOver,Chrome 60.0.3112.113,,2017-09-22 13:30:53,2017-09-22 13:30:55,1.257s,PASSED
waitForElementVisible,Chrome 60.0.3112.113,,2017-09-22 13:30:55,2017-09-22 13:30:55,0.526s,FAILED
,,,,,,
Test Cases/preTest-InsertTestConstructs,Chrome 60.0.3112.113,,2017-09-22 13:30:55,2017-09-22 13:33:01,2m - 6.033s,PASSED
openBrowser,Chrome 60.0.3112.113,,2017-09-22 13:30:55,2017-09-22 13:31:03,7.745s,PASSED
maximizeWindow,Chrome 60.0.3112.113,,2017-09-22 13:31:03,2017-09-22 13:31:04,1.141s,PASSED
click,Chrome 60.0.3112.113,,2017-09-22 13:31:04,2017-09-22 13:31:05,0.953s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-22 13:31:05,2017-09-22 13:31:05,0.299s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-22 13:31:05,2017-09-22 13:31:06,0.255s,PASSED
click,Chrome 60.0.3112.113,,2017-09-22 13:31:06,2017-09-22 13:31:06,0.150s,PASSED
click,Chrome 60.0.3112.113,,2017-09-22 13:31:06,2017-09-22 13:31:11,5.530s,PASSED
mouseOver,Chrome 60.0.3112.113,,2017-09-22 13:31:11,2017-09-22 13:31:12,0.609s,PASSED
waitForElementVisible,Chrome 60.0.3112.113,,2017-09-22 13:31:12,2017-09-22 13:31:13,0.909s,PASSED
click,Chrome 60.0.3112.113,,2017-09-22 13:31:13,2017-09-22 13:31:14,1.364s,PASSED
