Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
OptidesLabkeyTests,Chrome 65.0.3325.181,,2018-03-27 14:17:14,2018-03-27 14:18:18,1m - 3.993s,FAILED
,,,,,,
Test Cases/HPLC Image Assay Pipeline,Chrome 65.0.3325.181,Test the HPLC Image Assay pipeline,2018-03-27 14:17:14,2018-03-27 14:18:17,1m - 2.530s,FAILED
callTestCase,Chrome 65.0.3325.181,use global script for log in with credentials and BASE_URL set there,2018-03-27 14:17:15,2018-03-27 14:17:25,10.365s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-03-27 14:17:25,2018-03-27 14:17:26,0.413s,PASSED
waitForElementVisible,Chrome 65.0.3325.181,,2018-03-27 14:17:26,2018-03-27 14:17:26,0.634s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 14:17:26,2018-03-27 14:17:28,1.553s,PASSED
refresh,Chrome 65.0.3325.181,,2018-03-27 14:17:28,2018-03-27 14:17:29,1.337s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-27 14:17:29,2018-03-27 14:17:32,3.013s,PASSED
doubleClick,Chrome 65.0.3325.181,,2018-03-27 14:17:32,2018-03-27 14:17:33,0.345s,PASSED
waitForElementPresent,Chrome 65.0.3325.181,,2018-03-27 14:17:33,2018-03-27 14:17:33,0.261s,PASSED
doubleClick,Chrome 65.0.3325.181,,2018-03-27 14:17:33,2018-03-27 14:17:33,0.405s,PASSED
waitForElementPresent,Chrome 65.0.3325.181,,2018-03-27 14:17:33,2018-03-27 14:17:36,2.830s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 14:17:36,2018-03-27 14:17:36,0.120s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 14:17:36,2018-03-27 14:17:36,0.160s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 14:17:36,2018-03-27 14:17:37,0.128s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 14:17:37,2018-03-27 14:17:37,0.166s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 14:17:37,2018-03-27 14:17:37,0.143s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 14:17:37,2018-03-27 14:17:37,0.203s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 14:17:37,2018-03-27 14:17:37,0.239s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 14:17:37,2018-03-27 14:17:38,0.696s,PASSED
waitForElementVisible,Chrome 65.0.3325.181,,2018-03-27 14:17:38,2018-03-27 14:17:39,0.590s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementVisible(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(input_ProtocolName), CONTINUE_ON_FAILURE))",Chrome 65.0.3325.181,,2018-03-27 14:17:39,2018-03-27 14:17:39,0.609s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 14:17:39,2018-03-27 14:17:39,0.116s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-27 14:17:39,2018-03-27 14:17:41,2.005s,PASSED
Statement - url = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getUrl(),Chrome 65.0.3325.181,Get current page's URL,2018-03-27 14:17:41,2018-03-27 14:17:41,0.089s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-03-27 14:17:41,2018-03-27 14:17:42,0.296s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 14:17:42,2018-03-27 14:17:43,0.849s,PASSED
"Statement - pipelineStatus = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_Data Pipeline - CompoundsRegistry/a_PipelineStatus), ""text"")",Chrome 65.0.3325.181,,2018-03-27 14:17:43,2018-03-27 14:17:43,0.122s,PASSED
"Statement - While (pipelineStatus == ""insert_jpegs RUNNING"" || pipelineStatus == ""insert_jpegs WAITING"")",Chrome 65.0.3325.181,Check every 10 seconds for a status update,2018-03-27 14:17:43,2018-03-27 14:17:43,0.000s,PASSED
"Statement - assert pipelineStatus == ""COMPLETE""",Chrome 65.0.3325.181,,2018-03-27 14:17:43,2018-03-27 14:17:43,0.004s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 14:17:43,2018-03-27 14:17:43,0.133s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 14:17:43,2018-03-27 14:17:44,0.781s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 14:17:44,2018-03-27 14:17:45,1.125s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 14:17:45,2018-03-27 14:18:17,32.236s,FAILED
