Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
OptidesLabkeyTests,Chrome 64.0.3282.167,,2018-02-15 14:56:51,2018-02-15 14:57:16,25.541s,FAILED
,,,,,,
Test Cases/HT_DNA Delivery.R,Chrome 64.0.3282.167,HT_DNA order form delivery pipeline test,2018-02-15 14:56:51,2018-02-15 14:57:15,24.071s,FAILED
callTestCase,Chrome 64.0.3282.167,use global script for log in with credentials and BASE_URL set there,2018-02-15 14:56:52,2018-02-15 14:57:04,12.688s,PASSED
mouseOver,Chrome 64.0.3282.167,,2018-02-15 14:57:04,2018-02-15 14:57:06,1.297s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-15 14:57:06,2018-02-15 14:57:08,2.726s,PASSED
click,Chrome 64.0.3282.167,,2018-02-15 14:57:08,2018-02-15 14:57:11,2.117s,PASSED
click,Chrome 64.0.3282.167,,2018-02-15 14:57:11,2018-02-15 14:57:15,4.518s,FAILED
