Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
OptidesLabkeyTests,Chrome 64.0.3282.167,,2018-02-15 14:44:24,2018-02-15 14:45:40,1m - 16.101s,PASSED
,,,,,,
Test Cases/AssayReport Creation test,Chrome 64.0.3282.167,,2018-02-15 14:44:24,2018-02-15 14:45:40,1m - 15.656s,PASSED
callTestCase,Chrome 64.0.3282.167,use global script for log in with credentials and BASE_URL set there,2018-02-15 14:44:25,2018-02-15 14:44:38,13.031s,PASSED
mouseOver,Chrome 64.0.3282.167,,2018-02-15 14:44:38,2018-02-15 14:44:40,1.560s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-15 14:44:40,2018-02-15 14:44:42,2.620s,PASSED
click,Chrome 64.0.3282.167,,2018-02-15 14:44:42,2018-02-15 14:44:44,2.060s,PASSED
delay,Chrome 64.0.3282.167,,2018-02-15 14:44:44,2018-02-15 14:44:46,2.012s,PASSED
click,Chrome 64.0.3282.167,,2018-02-15 14:44:46,2018-02-15 14:44:46,0.177s,PASSED
click,Chrome 64.0.3282.167,,2018-02-15 14:44:46,2018-02-15 14:44:47,0.973s,PASSED
click,Chrome 64.0.3282.167,,2018-02-15 14:44:47,2018-02-15 14:44:48,0.300s,PASSED
click,Chrome 64.0.3282.167,,2018-02-15 14:44:48,2018-02-15 14:44:48,0.533s,PASSED
delay,Chrome 64.0.3282.167,,2018-02-15 14:44:48,2018-02-15 14:44:50,2.003s,PASSED
setText,Chrome 64.0.3282.167,,2018-02-15 14:44:50,2018-02-15 14:44:51,0.264s,PASSED
setText,Chrome 64.0.3282.167,,2018-02-15 14:44:51,2018-02-15 14:44:54,3.199s,PASSED
click,Chrome 64.0.3282.167,,2018-02-15 14:44:54,2018-02-15 14:44:55,1.612s,PASSED
delay,Chrome 64.0.3282.167,,2018-02-15 14:44:55,2018-02-15 14:45:15,20.003s,PASSED
verifyTextPresent,Chrome 64.0.3282.167,,2018-02-15 14:45:15,2018-02-15 14:45:20,4.960s,PASSED
verifyTextPresent,Chrome 64.0.3282.167,,2018-02-15 14:45:20,2018-02-15 14:45:26,5.242s,PASSED
verifyTextPresent,Chrome 64.0.3282.167,,2018-02-15 14:45:26,2018-02-15 14:45:31,5.565s,PASSED
verifyTextPresent,Chrome 64.0.3282.167,,2018-02-15 14:45:31,2018-02-15 14:45:36,5.329s,PASSED
click,Chrome 64.0.3282.167,,2018-02-15 14:45:36,2018-02-15 14:45:37,0.177s,PASSED
click,Chrome 64.0.3282.167,,2018-02-15 14:45:37,2018-02-15 14:45:38,0.913s,PASSED
setText,Chrome 64.0.3282.167,,2018-02-15 14:45:38,2018-02-15 14:45:38,0.468s,PASSED
click,Chrome 64.0.3282.167,,2018-02-15 14:45:38,2018-02-15 14:45:38,0.366s,PASSED
click,Chrome 64.0.3282.167,,2018-02-15 14:45:38,2018-02-15 14:45:39,0.351s,PASSED
click,Chrome 64.0.3282.167,,2018-02-15 14:45:39,2018-02-15 14:45:39,0.148s,PASSED
closeBrowser,Chrome 64.0.3282.167,,2018-02-15 14:45:39,2018-02-15 14:45:40,1.082s,PASSED
