Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
OptidesLabkeyTests,Chrome 65.0.3325.181,,2018-03-27 14:28:58,2018-03-27 14:29:50,52.005s,PASSED
,,,,,,
Test Cases/Insert Variants via Pipeline Test,Chrome 65.0.3325.181,,2018-03-27 14:28:59,2018-03-27 14:29:50,51.237s,PASSED
callTestCase,Chrome 65.0.3325.181,use global script for log in with credentials and BASE_URL set there,2018-03-27 14:28:59,2018-03-27 14:29:09,10.175s,PASSED
mouseOver,Chrome 65.0.3325.181,,2018-03-27 14:29:09,2018-03-27 14:29:10,0.396s,PASSED
waitForElementVisible,Chrome 65.0.3325.181,,2018-03-27 14:29:10,2018-03-27 14:29:11,1.189s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 14:29:11,2018-03-27 14:29:12,0.995s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 14:29:12,2018-03-27 14:29:13,1.273s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-27 14:29:13,2018-03-27 14:29:15,2.013s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 14:29:15,2018-03-27 14:29:17,1.256s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 14:29:17,2018-03-27 14:29:17,0.295s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 14:29:17,2018-03-27 14:29:17,0.249s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 14:29:17,2018-03-27 14:29:18,0.665s,PASSED
waitForElementVisible,Chrome 65.0.3325.181,,2018-03-27 14:29:18,2018-03-27 14:29:18,0.626s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-27 14:29:18,2018-03-27 14:29:21,3.007s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementVisible(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(input_ProtocolName), CONTINUE_ON_FAILURE))",Chrome 65.0.3325.181,,2018-03-27 14:29:21,2018-03-27 14:29:22,0.512s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 14:29:22,2018-03-27 14:29:22,0.095s,PASSED
delay,Chrome 65.0.3325.181,,2018-03-27 14:29:22,2018-03-27 14:29:24,2.005s,PASSED
Statement - url = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getUrl(),Chrome 65.0.3325.181,Get current page's URL,2018-03-27 14:29:24,2018-03-27 14:29:24,0.047s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-03-27 14:29:24,2018-03-27 14:29:24,0.281s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 14:29:24,2018-03-27 14:29:25,0.734s,PASSED
"Statement - pipelineStatus = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_Data Pipeline - CompoundsRegistry/a_PipelineStatus), ""text"")",Chrome 65.0.3325.181,,2018-03-27 14:29:25,2018-03-27 14:29:25,0.059s,PASSED
"Statement - While (pipelineStatus == ""insert_variants RUNNING"" || pipelineStatus == ""insert_variants WAITING"")",Chrome 65.0.3325.181,Check every 10 seconds for a status update,2018-03-27 14:29:25,2018-03-27 14:29:45,20.129s,PASSED
"Statement - assert pipelineStatus == ""COMPLETE""",Chrome 65.0.3325.181,,2018-03-27 14:29:45,2018-03-27 14:29:45,0.000s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 14:29:45,2018-03-27 14:29:45,0.120s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 14:29:45,2018-03-27 14:29:49,3.134s,PASSED
click,Chrome 65.0.3325.181,,2018-03-27 14:29:49,2018-03-27 14:29:49,0.567s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-03-27 14:29:49,2018-03-27 14:29:50,0.799s,PASSED
