Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
OptidesLabkeyTests,Chrome 64.0.3282.167,,2018-02-15 14:37:41,2018-02-15 14:38:02,21.032s,FAILED
,,,,,,
Test Cases/InSilicoAssay Weekly Cron Test,Chrome 64.0.3282.167,,2018-02-15 14:37:42,2018-02-15 14:38:01,19.465s,FAILED
callTestCase,Chrome 64.0.3282.167,use global script for log in with credentials and BASE_URL set there,2018-02-15 14:37:42,2018-02-15 14:37:56,13.259s,PASSED
mouseOver,Chrome 64.0.3282.167,,2018-02-15 14:37:56,2018-02-15 14:37:57,1.357s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-15 14:37:57,2018-02-15 14:38:00,2.733s,PASSED
click,Chrome 64.0.3282.167,,2018-02-15 14:38:00,2018-02-15 14:38:01,1.410s,FAILED
